period,sex,allageesprate,allagestderr,allagelcli,allageucli,under75esprate,under75stderr,under75lcli,under75ucli,totdeaths
19991,F,1311.433731,6.969264549,1297.773973,1325.09349,489.6005982,4.514622202,480.7519387,498.4492577,32123
19991,M,1933.527924,11.58378488,1910.823706,1956.232142,839.0978368,6.357872122,826.6364075,851.5592662,29023
19991,P,1558.887512,6.036275977,1547.056411,1570.718612,651.2655736,3.809117816,643.7997027,658.7314445,61146
19992,F,1293.551756,6.925504204,1279.977768,1307.125745,484.9107558,4.492561634,476.105335,493.7161767,31715
19992,M,1898.856069,11.45624374,1876.401832,1921.310307,828.561211,6.314948654,816.1839117,840.9385104,28665
19992,P,1535.823216,5.991469952,1524.079935,1547.566497,643.9689567,3.786777419,636.5468729,651.3910404,60380
19993,F,1284.345636,6.899406901,1270.822799,1297.868474,480.0671237,4.4704737,471.3049952,488.8292521,31533
19993,M,1875.112524,11.36564166,1852.835866,1897.389181,811.0339572,6.244162567,798.7953986,823.2725158,28359
19993,P,1520.564757,5.957314062,1508.888421,1532.241093,633.3500183,3.754395735,625.9914027,640.708634,59892
19994,F,1287.890555,6.902113261,1274.362413,1301.418697,480.7926668,4.472904612,472.0257737,489.5595598,31676
19994,M,1889.891595,11.36701777,1867.61224,1912.17095,807.9581033,6.229267408,795.7487392,820.1674674,28605
19994,P,1527.20669,5.959353463,1515.526357,1538.887023,632.3992674,3.750414518,625.0484549,639.7500798,60281
20001,F,1271.417442,6.859828829,1257.972177,1284.862706,478.3569273,4.459741117,469.6158347,487.0980199,31328
20001,M,1858.159647,11.23318696,1836.1426,1880.176693,808.6444212,6.224862464,796.4436907,820.8451516,28394
20001,P,1507.165342,5.916518068,1495.568966,1518.761717,631.7333458,3.746152423,624.390887,639.0758045,59722
20002,F,1266.315908,6.84021743,1252.909082,1279.722735,475.7088576,4.446393751,466.9939258,484.4237893,31298
20002,M,1852.994716,11.17530584,1831.091117,1874.898315,808.5066723,6.219673509,796.3161123,820.6972324,28410
20002,P,1501.497819,5.895039605,1489.943542,1513.052097,630.221505,3.739701589,622.8916899,637.5513201,59708
20003,F,1255.736728,6.805842146,1242.397278,1269.076179,472.6178309,4.43051325,463.934025,481.3016369,31129
20003,M,1824.301928,11.04007981,1802.663372,1845.940485,801.0334282,6.188688023,788.9035996,813.1632567,28194
20003,P,1486.283894,5.857385732,1474.803418,1497.76437,625.1810056,3.723721267,617.8825119,632.4794993,59323
20004,F,1218.277432,6.706034224,1205.133605,1231.421259,459.3657224,4.367025887,450.8063517,467.9250932,30287
20004,M,1776.454251,10.88247357,1755.124603,1797.7839,777.7767666,6.095517646,765.829552,789.7239812,27511
20004,P,1443.142218,5.769266157,1431.834456,1454.449979,607.1837147,3.668247933,599.9939487,614.3734806,57798
20011,F,1184.063599,6.615370869,1171.097472,1197.029726,451.1472395,4.328096927,442.6641696,459.6303095,29517
20011,M,1733.127391,10.73106193,1712.09451,1754.160273,754.3659764,5.998905936,742.6081208,766.1238321,26919
20011,P,1403.688371,5.686796682,1392.54225,1414.834493,591.9819896,3.620698225,584.8854211,599.0785582,56436
20012,F,1183.143719,6.597023824,1170.213553,1196.073886,447.5069606,4.309101355,439.061122,455.9527993,29576
20012,M,1725.352505,10.66423603,1704.450602,1746.254408,752.9898754,5.98755339,741.2542708,764.7254801,26958
20012,P,1402.347727,5.671521687,1391.231544,1413.463909,589.4956602,3.610821976,582.4184491,596.5728713,56534
20013,F,1184.461062,6.587975242,1171.54863,1197.373493,445.0650319,4.29734064,436.6422443,453.4878196,29675
20013,M,1740.106194,10.68116327,1719.171114,1761.041274,756.250357,5.992174234,744.5056955,767.9950185,27180
20013,P,1407.414842,5.667991721,1396.305578,1418.524106,589.8163703,3.609124714,582.7424858,596.8902547,56855
20014,F,1196.20456,6.605671998,1183.257442,1209.151677,446.4346892,4.300546383,438.0056183,454.8637601,30058
20014,M,1735.976871,10.6282503,1715.145501,1756.808242,760.5729612,6.000248117,748.8124749,772.3334475,27324
20014,P,1415.70879,5.672314691,1404.591053,1426.826526,592.6795467,3.613864549,585.5963722,599.7627213,57382
20021,F,1184.561768,6.568415822,1171.687673,1197.435863,438.4166165,4.258759729,430.0694474,446.7637856,29829
20021,M,1711.856328,10.5379691,1691.201908,1732.510747,751.1105603,5.954461236,739.4398163,762.7813043,27057
20021,P,1399.854626,5.635460078,1388.809124,1410.900128,584.162132,3.584246647,577.1370086,591.1872555,56886
20022,F,1187.868919,6.573506024,1174.984847,1200.75299,442.4425402,4.274762264,434.0640061,450.8210742,29945
20022,M,1720.017899,10.54137365,1699.356807,1740.678992,750.8407066,5.946422664,739.1857181,762.495695,27227
20022,P,1404.05953,5.636263373,1393.012454,1415.106606,586.1245825,3.586475696,579.0950901,593.1540748,57172
20023,F,1193.442612,6.581728961,1180.542423,1206.342801,443.3342212,4.273054044,434.9590353,451.7094071,30129
20023,M,1719.244234,10.51362716,1698.637525,1739.850943,750.4955213,5.9361049,738.8607557,762.1302869,27357
20023,P,1408.434065,5.638047535,1397.383491,1419.484638,586.5837331,3.583119512,579.5608188,593.6066473,57486
20024,F,1201.823156,6.594411647,1188.89811,1214.748203,442.7197909,4.26757287,434.3553481,451.0842337,30359
20024,M,1741.094699,10.55443418,1720.408008,1761.78139,755.4483373,5.946410559,743.7933726,767.103302,27743
20024,P,1422.307626,5.656660495,1411.220572,1433.394681,588.8458644,3.586654532,581.8160216,595.8757073,58102
20031,F,1208.896399,6.607315123,1195.946061,1221.846736,444.7861659,4.273707097,436.4097,453.1626318,30548
20031,M,1750.044178,10.56442239,1729.337911,1770.750446,755.0115309,5.938792428,743.3714977,766.651564,27922
20031,P,1430.046745,5.665556266,1418.942255,1441.151235,589.5947462,3.585262735,582.5676313,596.6218612,58470
20032,F,1206.38126,6.596375187,1193.452365,1219.310155,438.029302,4.237392091,429.7240135,446.3345905,30496
20032,M,1755.843931,10.57163637,1735.123523,1776.564338,749.0527982,5.906628988,737.4758054,760.629791,28001
20032,P,1429.926682,5.661349622,1418.830436,1441.022927,583.4767907,3.563036132,576.4932399,590.4603415,58497
20033,F,1200.556535,6.581696673,1187.65641,1213.456661,434.5251524,4.217593885,426.2586684,442.7916364,30342
20033,M,1751.506655,10.55634466,1730.81622,1772.197091,737.8092376,5.856278404,726.330932,749.2875433,27889
20033,P,1422.923446,5.646099189,1411.857092,1433.989801,576.3376503,3.538100936,569.4029725,583.2723281,58231
20034,F,1212.998678,6.611954232,1200.039248,1225.958108,439.6472588,4.238102237,431.3405784,447.9539392,30639
20034,M,1751.896462,10.55219888,1731.214152,1772.578772,725.6516139,5.800302356,714.2830213,737.0202065,27830
20034,P,1428.604568,5.651142745,1417.528328,1439.680808,573.3545268,3.524646703,566.4462192,580.2628343,58469
20041,F,1208.586221,6.595837448,1195.658379,1221.514062,436.874428,4.220403566,428.602437,445.146419,30540
20041,M,1734.925886,10.49877637,1714.348284,1755.503487,717.8272723,5.761932125,706.5338854,729.1206593,27598
20041,P,1419.443793,5.630223255,1408.408555,1430.47903,568.3680224,3.505736884,561.4967781,575.2392667,58138
20042,F,1198.943928,6.571156122,1186.064462,1211.823394,433.2532195,4.199950812,425.0213159,441.4851231,30332
20042,M,1704.113305,10.39700541,1683.735174,1724.491435,706.7633387,5.710058256,695.5716245,717.9550529,27306
20042,P,1403.137763,5.597599069,1392.166469,1414.109058,561.3468473,3.480621047,554.5248301,568.1688646,57638
20043,F,1193.330094,6.555049761,1180.482197,1206.177992,432.1082714,4.190559479,423.8947749,440.321768,30238
20043,M,1684.858559,10.32296507,1664.625548,1705.091571,704.665083,5.692169554,693.5084306,715.8217353,27165
20043,P,1393.087044,5.574287012,1382.161441,1404.012647,559.8198154,3.471461532,553.0157508,566.62388,57403
20044,F,1157.249293,6.456802227,1144.593961,1169.904626,416.0477525,4.1090714,407.9939726,424.1015325,29412
20044,M,1645.969912,10.18424496,1626.008792,1665.931032,693.3929612,5.637152612,682.3441421,704.4417803,26775
20044,P,1357.641681,5.502950174,1346.855899,1368.427464,546.1914811,3.425242601,539.4780056,552.9049566,56187
20051,F,1158.828826,6.450614941,1146.185621,1171.472031,413.4030492,4.093959231,405.3788891,421.4272093,29529
20051,M,1648.689946,10.15636618,1628.783468,1668.596424,688.1599902,5.606514628,677.1712215,699.1487589,26942
20051,P,1360.186777,5.496818245,1349.413013,1370.960541,542.4025106,3.409561975,535.7197691,549.085252,56471
20052,F,1161.150055,6.446569893,1148.514778,1173.785332,416.2280446,4.104097178,408.1840142,424.2720751,29643
20052,M,1643.564073,10.10851383,1623.751385,1663.37676,683.431943,5.579260979,672.4965914,694.3672945,26928
20052,P,1359.238,5.482706321,1348.491895,1369.984104,541.7703509,3.403741257,535.099018,548.4416837,56571
20053,F,1153.481016,6.415624712,1140.906392,1166.05564,411.6631818,4.078908481,403.6685212,419.6578424,29525
20053,M,1623.245573,10.00863867,1603.628641,1642.862504,672.0888204,5.524374207,661.261047,682.9165939,26786
20053,P,1348.114149,5.450262656,1337.431634,1358.796664,534.1733017,3.376381594,527.5555938,540.7910096,56311
20054,F,1139.077575,6.377243899,1126.578177,1151.576973,411.8586999,4.077102615,403.8675788,419.849821,29225
20054,M,1600.922338,9.916047016,1581.486886,1620.35779,663.895047,5.485959595,653.1425662,674.6475278,26522
20054,P,1329.441334,5.406915488,1318.84378,1340.038888,530.3758072,3.361695382,523.7868843,536.9647302,55747
20061,F,1115.77652,6.318861733,1103.391551,1128.161488,411.6743052,4.07371099,403.6898317,419.6587788,28680
20061,M,1578.245326,9.818445544,1559.001172,1597.489479,660.9543997,5.46476547,650.2434594,671.6653401,26326
20061,P,1305.500378,5.354286438,1295.005976,1315.994779,529.1313187,3.354387559,522.5567191,535.7059183,55006
20062,F,1119.073202,6.318414148,1106.689111,1131.457294,409.4537253,4.061030047,401.4941064,417.4133442,28862
20062,M,1574.899668,9.777823679,1555.735134,1594.064203,658.3212196,5.44432813,647.6503365,668.9921027,26411
20062,P,1306.729784,5.34606059,1296.251505,1317.208063,526.9596188,3.344213415,520.4049605,533.5142771,55273
20063,F,1116.627854,6.303830052,1104.272347,1128.983361,408.6935253,4.054510305,400.7466851,416.6403655,28869
20063,M,1560.984858,9.716699916,1541.940126,1580.02959,650.3688603,5.401276649,639.7823581,660.9553625,26264
20063,P,1299.28845,5.321546266,1288.85822,1309.718681,523.0167822,3.327697613,516.4944949,529.5390695,55133
20064,F,1112.599491,6.281682667,1100.287393,1124.911589,404.7293915,4.031077352,396.8284799,412.6303031,28842
20064,M,1549.657153,9.656709508,1530.730002,1568.584303,647.8839336,5.37877739,637.3415299,658.4263373,26251
20064,P,1293.86565,5.301383501,1283.474939,1304.256362,519.9534532,3.312916412,513.460137,526.4467693,55093
20071,F,1137.719546,6.329170859,1125.314371,1150.124721,405.57699,4.03127801,397.6756851,413.4782949,29561
20071,M,1560.871624,9.671372124,1541.915735,1579.827514,646.3213287,5.363924649,635.8080364,656.834621,26476
20071,P,1314.455705,5.32829113,1304.012255,1324.899156,519.7034237,3.307835582,513.220066,526.1867815,56037
20072,F,1114.528191,6.264687921,1102.249403,1126.806979,400.9550917,4.002694774,393.1098099,408.8003735,29010
20072,M,1556.78346,9.644462684,1537.880313,1575.686607,644.9472926,5.348094375,634.4650276,655.4295576,26487
20072,P,1297.663967,5.29056038,1287.294469,1308.033465,516.4973462,3.291776501,510.0454642,522.9492281,55497
20073,F,1105.675491,6.237828621,1093.449347,1117.901635,400.0638322,3.992936429,392.2376768,407.8899876,28819
20073,M,1556.381888,9.623884548,1537.519075,1575.244702,643.9942402,5.335836014,633.5360016,654.4524788,26621
20073,P,1292.528618,5.275820488,1282.18801,1302.869227,515.5981594,3.284255681,509.1610183,522.0353006,55440
20074,F,1114.64433,6.255266734,1102.384007,1126.904653,401.0305108,3.992649988,393.2049168,408.8561048,29091
20074,M,1568.330522,9.641169681,1549.433829,1587.227214,644.9324935,5.33036639,634.4849754,655.3800117,26895
20074,P,1302.535658,5.287878628,1292.171416,1312.899901,516.6640477,3.282951163,510.2294634,523.098632,55986
20081,F,1092.523254,6.198270543,1080.374643,1104.671864,393.1224415,3.947431032,385.3854767,400.8594063,28564
20081,M,1544.672005,9.559574865,1525.935238,1563.408771,637.3240498,5.288936142,626.9577349,647.6903646,26675
20081,P,1280.261992,5.24376149,1269.98422,1290.539765,508.9234317,3.252945058,502.5476594,515.299204,55239
20082,F,1100.268965,6.214011818,1088.089502,1112.448428,391.8107619,3.935312808,384.0975488,399.523975,28804
20082,M,1529.183827,9.504347238,1510.555307,1547.812348,631.3587878,5.252427187,621.0640305,641.6535451,26528
20082,P,1279.431397,5.236623339,1269.167616,1289.695179,505.6298302,3.236979137,499.2853511,511.9743093,55332
20083,F,1103.150033,6.217915091,1090.96292,1115.337147,389.6794212,3.917942783,382.0002534,397.3585891,28942
20083,M,1515.162096,9.453055475,1496.634107,1533.690085,629.5425026,5.233862556,619.284132,639.8008732,26402
20083,P,1275.698466,5.224314552,1265.458809,1285.938122,503.6619692,3.224604343,497.3417447,509.9821937,55344
20084,F,1111.293959,6.228589663,1099.085923,1123.501994,387.768117,3.902243869,380.119719,395.416515,29196
20084,M,1517.663055,9.445356492,1499.150157,1536.175954,626.7596934,5.214030643,616.5401933,636.9791934,26504
20084,P,1282.003313,5.228414435,1271.75562,1292.251005,501.3422574,3.212303823,495.0461419,507.6383729,55700
20091,F,1102.738606,6.199430374,1090.587723,1114.88949,384.1561413,3.877352209,376.556531,391.7557517,29037
20091,M,1508.111758,9.401085209,1489.685631,1526.537885,620.0799994,5.175560652,609.9359005,630.2240983,26420
20091,P,1272.525757,5.203051212,1262.327776,1282.723737,496.2873333,3.190099599,490.034738,502.5399285,55457
20092,F,1083.637042,6.145607836,1071.591651,1095.682434,379.6508767,3.849688177,372.1054879,387.1962655,28584
20092,M,1483.490552,9.307777805,1465.247307,1501.733796,606.2219493,5.10804441,596.2101823,616.2337164,26150
20092,P,1251.718029,5.157937038,1241.608473,1261.827586,487.4429329,3.156897908,481.255413,493.6304527,54734
20093,F,1072.057936,6.106374424,1060.089442,1084.02643,373.3580853,3.813324959,365.8839683,380.8322022,28347
20093,M,1478.242241,9.260140305,1460.092366,1496.392116,600.8136028,5.076617393,590.8634327,610.7637729,26188
20093,P,1242.849428,5.13144623,1232.791793,1252.907062,481.5982543,3.133472937,475.4566473,487.7398612,54535
20094,F,1056.19411,6.060742798,1044.315054,1068.073166,374.388215,3.813649457,366.9134621,381.8629679,28028
20094,M,1444.003482,9.115947103,1426.136226,1461.870738,590.3224254,5.02296261,580.4774187,600.1674321,25828
